Vtg,Vds,I
1,1,0.8648471046
1,0.975,0.8648334824
1,0.95,0.8648140429
1,0.925,0.8647854647
1,0.9,0.8647434708
1,0.875,0.8646818027
1,0.85,0.8645914895
1,0.825,0.8644592549
1,0.8,0.8642658692
1,0.775,0.8639840056
1,0.75,0.8635750218
1,0.725,0.8629852156
1,0.7,0.8621417032
1,0.675,0.8609486272
1,0.65,0.8592848583
1,0.625,0.857004511
1,0.6,0.8539408774
1,0.575,0.8499130711
1,0.55,0.8435117614
1,0.525,0.8382070161
1,0.5,0.8301397686
1,0.475,0.8203240001
1,0.45,0.808539322
1,0.425,0.7945444595
1,0.4,0.7780741521
1,0.375,0.7588381796
1,0.35,0.7365233546
1,0.325,0.7107987629
1,0.3,0.681324599
1,0.275,0.6477650225
1,0.25,0.6098054961
1,0.225,0.5671750475
1,0.2,0.5196738419
1,0.175,0.4672064128
1,0.15,0.4098208943
1,0.125,0.3477545882
1,0.1,0.2814867191
1,0.075,0.2117901692
1,0.05,0.1398368542
1,0.025,0.0676445829
1,0,0
1,-0.025,-0.0521282328
1,-0.05,-0.0738643648
1,-0.075,-0.0617972583
1,-0.1,-0.0339546905
1,-0.125,-0.0123169128
1,-0.15,-0.0029175448
1,-0.175,-0.000445754
1,-0.2,-4.34467612E-005
1,-0.225,-2.6758956E-006
1,-0.25,-1.032808E-007
0.95,1,0.8606726318
0.95,0.975,0.8606614088
0.95,0.95,0.860644903
0.95,0.925,0.860620634
0.95,0.9,0.8605849646
0.95,0.875,0.8605325681
0.95,0.85,0.8604556654
0.95,0.825,0.8603427681
0.95,0.8,0.8601775025
0.95,0.775,0.8599363062
0.95,0.75,0.8595854312
0.95,0.725,0.8590774507
0.95,0.7,0.8583469887
0.95,0.675,0.8573062632
0.95,0.65,0.8558414001
0.95,0.625,0.8538109005
0.95,0.6,0.8498217131
0.95,0.575,0.8473639378
0.95,0.55,0.8425600169
0.95,0.525,0.8364298003
0.95,0.5,0.8287621133
0.95,0.475,0.8193409857
0.95,0.45,0.8079385015
0.95,0.425,0.7943091944
0.95,0.4,0.7781853089
0.95,0.375,0.7592746237
0.95,0.35,0.7372614485
0.95,0.325,0.7118111504
0.95,0.3,0.6825785519
0.95,0.275,0.6492206173
0.95,0.25,0.6114138993
0.95,0.225,0.5688772279
0.95,0.2,0.5214000791
0.95,0.175,0.4688770109
0.95,0.15,0.4113485054
0.95,0.125,0.349048363
0.95,0.1,0.2824566446
0.95,0.075,0.2123554633
0.95,0.05,0.1399344387
0.95,0.025,0.0673592898
0.95,0,0
0.95,-0.025,-0.0502680635
0.95,-0.05,-0.0689749072
0.95,-0.075,-0.0553329634
0.95,-0.1,-0.0289464801
0.95,-0.125,-0.0099505
0.95,-0.15,-0.0022272649
0.95,-0.175,-0.0003210202
0.95,-0.2,-0.000029489
0.95,-0.225,-1.710836E-006
0.95,-0.25,-6.21836E-008
0.9,1,0.8560537254
0.9,0.975,0.8560441703
0.9,0.95,0.8560301159
0.9,0.925,0.8560094477
0.9,0.9,0.8559790627
0.9,0.875,0.8559344121
0.9,0.85,0.8558688407
0.9,0.825,0.8557726395
0.9,0.8,0.8556314196
0.9,0.775,0.8554249972
0.9,0.75,0.8551240497
0.9,0.725,0.8546869482
0.9,0.7,0.8540555672
0.9,0.675,0.8531504908
0.9,0.65,0.8518663363
0.9,0.625,0.8500684315
0.9,0.6,0.8475924021
0.9,0.575,0.8442481882
0.9,0.55,0.839825448
0.9,0.525,0.8341042986
0.9,0.5,0.8268591649
0.9,0.475,0.8178600916
0.9,0.45,0.8068690893
0.9,0.425,0.7936341658
0.9,0.4,0.7778836429
0.9,0.375,0.759322674
0.9,0.35,0.7376330283
0.9,0.325,0.7124546409
0.9,0.3,0.6835036576
0.9,0.275,0.6503643334
0.9,0.25,0.6127270067
0.9,0.225,0.5703009011
0.9,0.2,0.5228628657
0.9,0.175,0.4703050471
0.9,0.15,0.412653062
0.9,0.125,0.3501391543
0.9,0.1,0.2832434309
0.9,0.075,0.2127497607
0.9,0.05,0.1398661654
0.9,0.025,0.066937065
0.9,0,0
0.9,-0.025,-0.0481983573
0.9,-0.05,-0.0639122176
0.9,-0.075,-0.049083432
0.9,-0.1,-0.0244173113
0.9,-0.125,-0.0079476322
0.9,-0.15,-0.0016800946
0.9,-0.175,-0.0002283564
0.9,-0.2,-0.000019765
0.9,-0.225,-0.00000108
0.9,-0.25,-0.000000037
0.85,1,0.8509390348
0.85,0.975,0.8509308853
0.85,0.95,0.8509188972
0.85,0.925,0.8509012656
0.85,0.9,0.8508753388
0.85,0.875,0.8508372292
0.85,0.85,0.8507812392
0.85,0.825,0.8506990414
0.85,0.8,0.8505784281
0.85,0.775,0.8504016111
0.85,0.75,0.8501434041
0.85,0.725,0.8497674277
0.85,0.7,0.8492223556
0.85,0.675,0.8484370474
0.85,0.65,0.8473152721
0.85,0.625,0.8457309942
0.85,0.6,0.8435257519
0.85,0.575,0.8405097632
0.85,0.55,0.8364674466
0.85,0.525,0.8311659988
0.85,0.5,0.8243636845
0.85,0.475,0.8158143128
0.85,0.45,0.8052664322
0.85,0.425,0.7924585003
0.85,0.4,0.7771127885
0.85,0.375,0.758930662
0.85,0.35,0.7375909717
0.85,0.325,0.7127524816
0.85,0.3,0.684060845
0.85,0.275,0.6511605542
0.85,0.25,0.6137123251
0.85,0.225,0.5714164271
0.85,0.2,0.5240419034
0.85,0.175,0.4714659786
0.85,0.15,0.4137122587
0.85,0.125,0.3510064506
0.85,0.1,0.2838261864
0.85,0.075,0.2129511955
0.85,0.05,0.1396067376
0.85,0.025,0.0663582198
0.85,0,0
0.85,-0.025,-0.0459235494
0.85,-0.05,-0.0587292566
0.85,-0.075,-0.0431089011
0.85,-0.1,-0.0203696549
0.85,-0.125,-0.0062729774
0.85,-0.15,-0.0012517236
0.85,-0.175,-0.0001603808
0.85,-0.2,-1.30764932E-005
0.85,-0.225,-6.728308E-007
0.85,-0.25,-2.16816E-008
0.8,1,0.8452697668
0.8,0.975,0.8452628047
0.8,0.95,0.8452525626
0.8,0.925,0.845237497
0.8,0.9,0.8452153406
0.8,0.875,0.8451827647
0.8,0.85,0.8451348884
0.8,0.825,0.8450645676
0.8,0.8,0.8449613691
0.8,0.775,0.844809922
0.8,0.75,0.8445882609
0.8,0.725,0.8442648709
0.8,0.7,0.8437946699
0.8,0.675,0.8431144355
0.8,0.65,0.8421372673
0.8,0.625,0.8407469264
0.8,0.6,0.8387933542
0.8,0.575,0.8360911719
0.8,0.55,0.8324227144
0.8,0.525,0.8275456183
0.8,0.5,0.8212025852
0.8,0.475,0.8131293401
0.8,0.45,0.8030576032
0.8,0.425,0.7907126766
0.8,0.4,0.7758078672
0.8,0.375,0.7580388881
0.8,0.35,0.7369534491
0.8,0.325,0.7125890032
0.8,0.3,0.6842051711
0.8,0.275,0.6515684943
0.8,0.25,0.6143328366
0.8,0.225,0.572190218
0.8,0.2,0.524901153
0.8,0.175,0.4723322404
0.8,0.15,0.4145010734
0.8,0.125,0.3516271028
0.8,0.1,0.2841819258
0.8,0.075,0.2129336959
0.8,0.05,0.1391263109
0.8,0.025,0.0656009424
0.8,0,0
0.8,-0.025,-0.0434533404
0.8,-0.05,-0.053484517
0.8,-0.075,-0.0374648788
0.8,-0.1,-0.0167964415
0.8,-0.125,-0.0048903169
0.8,-0.15,-0.000920637
0.8,-0.175,-0.000111161
0.8,-0.2,-0.000008536
0.8,-0.225,-4.13536E-007
0.8,-0.25,-1.2546E-008
0.75,1,0.8389825582
0.75,0.975,0.8389766011
0.75,0.95,0.8389678371
0.75,0.925,0.8389549446
0.75,0.9,0.8389359819
0.75,0.875,0.8389080964
0.75,0.85,0.8388671024
0.75,0.825,0.8388068669
0.75,0.8,0.8387184177
0.75,0.775,0.8385886704
0.75,0.75,0.8383982938
0.75,0.725,0.8381200632
0.75,0.7,0.8377146014
0.75,0.675,0.8371260744
0.75,0.65,0.8362767194
0.75,0.625,0.8350606554
0.75,0.6,0.8333380165
0.75,0.575,0.8309310774
0.75,0.55,0.82762437
0.75,0.525,0.794469809
0.75,0.5,0.8172974448
0.75,0.475,0.8097238137
0.75,0.45,0.800161227
0.75,0.425,0.7883179405
0.75,0.4,0.7738946146
0.75,0.375,0.7565786018
0.75,0.35,0.7360396083
0.75,0.325,0.7119291163
0.75,0.3,0.6838849042
0.75,0.275,0.6515413885
0.75,0.25,0.6145462936
0.75,0.225,0.5725841313
0.75,0.2,0.5254069627
0.75,0.175,0.472872782
0.75,0.15,0.4149913231
0.75,0.125,0.3519760633
0.75,0.1,0.2842838948
0.75,0.075,0.2126659037
0.75,0.05,0.1383888025
0.75,0.025,0.0646415204
0.75,0,0
0.75,-0.025,-0.0408032273
0.75,-0.05,-0.0482405283
0.75,-0.075,-0.0321984962
0.75,-0.1,-0.0136819375
0.75,-0.125,-0.0037633986
0.75,-0.15,-0.0006681162
0.75,-0.175,-7.59981124E-005
0.75,-0.2,-5.4951756E-006
0.75,-0.225,-2.506336E-007
0.75,-0.25,-7.1584E-009
0.7,1,0.8320071074
0.7,0.975,0.832002003
0.7,0.95,0.8319944932
0.7,0.925,0.831983445
0.7,0.9,0.8319671931
0.7,0.875,0.8319432908
0.7,0.85,0.8319081456
0.7,0.825,0.8318564876
0.7,0.8,0.8317805988
0.7,0.775,0.8316692025
0.7,0.75,0.8025404544
0.7,0.725,0.8023249246
0.7,0.7,0.8309167151
0.7,0.675,0.8304079251
0.7,0.65,0.8296708735
0.7,0.625,0.8286101072
0.7,0.6,0.8270970371
0.7,0.575,0.8249641462
0.7,0.55,0.82200221
